 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Município e Ano processamento
Período:2017-2020
"Município";"2017";"2018";"2019";"2020";"Total"
"240680 Lajes Pintadas";332510,88;303895,85;433386,61;266955,04;1336748,38
"240690 Lucrécia";214534,65;317848,82;335938,56;302738,48;1171060,51
"240700 Luís Gomes";522251,52;449067,88;564906,08;505012,72;2041238,20
"240710 Macaíba";4685164,76;5612510,69;5376810,24;6246787,51;21921273,20
"240720 Macau";1376542,21;1738339,54;2233062,87;1981318,50;7329263,12
"240725 Major Sales";187887,12;233413,62;271796,39;291735,24;984832,37
"240730 Marcelino Vieira";351324,46;445974,35;534305,81;463341,87;1794946,49
"240740 Martins";498418,65;477015,97;442543,18;463617,62;1881595,42
"240750 Maxaranguape";597898,70;545854,38;859448,32;736053,49;2739254,89
"240760 Messias Targino";193841,04;290155,24;304249,26;642662,09;1430907,63
"240770 Montanhas";825530,21;873864,55;867828,70;869698,31;3436921,77
"240780 Monte Alegre";1680781,23;1356329,94;1373790,54;1615337,55;6026239,26
"240790 Monte das Gameleiras";122957,27;208882,68;229950,96;235027,65;796818,56
"240800 Mossoró";19798433,62;22423312,05;23414373,79;25313840,15;90949959,61
"240810 Natal";64590487,19;69971238,48;77582394,67;80801467,66;292945588,00
"240820 Nísia Floresta";1428472,37;1914392,93;1742857,93;2299712,27;7385435,50
"240830 Nova Cruz";1975068,46;2311208,13;2613450,69;2696979,16;9596706,44
"240840 Olho-d'Água do Borges";412941,36;366165,80;368748,85;326165,53;1474021,54
"240850 Ouro Branco";194626,60;196805,76;236565,13;390989,56;1018987,05
"240860 Paraná";334766,78;222099,65;267808,85;239029,88;1063705,16
"240870 Paraú";240763,67;247270,90;241053,86;442637,65;1171726,08
"240880 Parazinho";347529,34;334963,90;373040,01;502212,39;1557745,64
"240890 Parelhas";1117120,36;1205983,27;1452277,96;1707433,20;5482814,79
"240325 Parnamirim";12510612,74;14404075,53;15398554,78;17537117,23;59850360,28
"240910 Passa e Fica";703498,98;651706,19;911265,38;878437,91;3144908,46
"240920 Passagem";176548,73;138477,41;238180,57;218752,78;771959,49
"240930 Patu";547795,21;867033,17;879394,61;999757,11;3293980,10
"240940 Pau dos Ferros";1813604,28;2314794,80;2347175,71;2105411,80;8580986,59
"240950 Pedra Grande";178227,03;265355,15;203344,55;182085,34;829012,07
"240960 Pedra Preta";263190,92;175716,53;282746,03;246825,55;968479,03
"240970 Pedro Avelino";245941,95;470578,07;564805,00;390640,25;1671965,27
"240980 Pedro Velho";744705,55;953005,18;1173745,20;1138177,93;4009633,86
"240990 Pendências";826588,65;901409,05;1032939,90;1043981,47;3804919,07
"241000 Pilões";190921,92;281147,87;285455,51;249397,21;1006922,51
"241010 Poço Branco";696655,80;1051457,50;964928,77;881073,44;3594115,51
"241020 Portalegre";515549,52;542124,70;651254,77;473390,07;2182319,06
"241025 Porto do Mangue";325230,46;344524,09;328762,35;502874,68;1501391,58
"241040 Pureza";523832,78;697996,15;638439,48;533965,76;2394234,17
"241050 Rafael Fernandes";365735,24;454746,50;416971,08;359331,08;1596783,90
"241060 Rafael Godeiro";203366,62;129895,37;189791,93;344524,63;867578,55
"241070 Riacho da Cruz";208161,68;301648,28;331646,93;288778,45;1130235,34
"241080 Riacho de Santana";179363,46;231223,89;216163,54;248801,46;875552,35
"241090 Riachuelo";392640,93;593377,72;503536,59;681411,78;2170967,02
"240895 Rio do Fogo";774207,00;740132,39;818319,34;884737,56;3217396,29
"241100 Rodolfo Fernandes";259776,34;356046,82;325567,12;357083,23;1298473,51
"241110 Ruy Barbosa";273457,61;229434,08;301639,30;381377,91;1185908,90
"241120 Santa Cruz";2964082,95;2838246,94;3113142,23;3384211,67;12299683,79
"240933 Santa Maria";210811,81;283184,53;376923,68;350375,08;1221295,10
"241140 Santana do Matos";613946,48;898885,34;870724,65;981440,95;3364997,42
"241142 Santana do Seridó";291304,26;213240,17;206205,56;193879,44;904629,43
"241150 Santo Antônio";1508301,23;1740449,33;1979417,49;1796215,90;7024383,95
"241160 São Bento do Norte";197122,82;153563,91;278726,98;368790,49;998204,20
"241170 São Bento do Trairí";276406,87;310434,37;224647,07;327815,76;1139304,07
"241180 São Fernando";184490,44;137839,17;271173,69;245206,51;838709,81
"241190 São Francisco do Oeste";185459,63;372268,28;405306,68;332549,63;1295584,22
"241200 São Gonçalo do Amarante";7333339,20;6619855,52;8481055,89;8999627,14;31433877,75
"241210 São João do Sabugi";348286,92;435330,10;351402,67;466080,08;1601099,77
"241220 São José de Mipibu";2892989,44;3324935,73;3668922,52;4147900,18;14034747,87
"241230 São José do Campestre";721867,93;833138,59;881950,81;896974,59;3333931,92
"241240 São José do Seridó";224839,61;215554,33;322205,93;341475,06;1104074,93
"241250 São Miguel";1130802,81;1487164,13;1590154,71;1752777,75;5960899,40
"241255 São Miguel do Gostoso";561878,85;524387,76;778335,07;951541,59;2816143,27
"241260 São Paulo do Potengi";919373,80;1082773,90;1866774,14;1587551,05;5456472,89
"241270 São Pedro";501404,36;454419,44;410081,70;353536,11;1719441,61
"241280 São Rafael";501182,66;561787,86;535217,82;746143,08;2344331,42
"241290 São Tomé";535027,10;708187,53;751775,14;750089,38;2745079,15
"241300 São Vicente";393404,67;422570,66;368871,35;495766,63;1680613,31
"241310 Senador Elói de Souza";491507,57;474903,44;591298,91;482882,41;2040592,33
"241320 Senador Georgino Avelino";210778,37;403591,60;326107,23;395761,31;1336238,51
"241030 Serra Caiada";667041,82;615134,93;736774,25;752352,15;2771303,15
"241330 Serra de São Bento";335699,91;366289,77;372284,19;361331,11;1435604,98
"241335 Serra do Mel";740738,23;756931,79;907762,14;890370,96;3295803,12
"241340 Serra Negra do Norte";381240,94;437852,79;427635,02;768969,64;2015698,39
"241350 Serrinha";422243,07;654734,91;586551,04;467214,73;2130743,75
"241355 Serrinha dos Pintos";330676,93;285283,03;477660,16;340133,75;1433753,87
"241360 Severiano Melo";418861,91;394466,69;473435,76;494574,32;1781338,68
"241370 Sítio Novo";292625,27;249261,37;366784,99;354236,42;1262908,05
"241380 Taboleiro Grande";224026,95;205344,68;210380,22;209410,63;849162,48
"241390 Taipu";697531,24;754379,62;744261,66;770582,33;2966754,85
"241400 Tangará";965968,86;1088748,42;879472,32;994090,17;3928279,77
"241410 Tenente Ananias";596330,86;742692,45;851982,79;902764,62;3093770,72
"241415 Tenente Laurentino Cruz";347848,59;313816,55;390899,71;479228,66;1531793,51
"241105 Tibau";305087,53;443867,95;401556,09;761978,18;1912489,75
"241420 Tibau do Sul";837643,61;1020683,21;1181426,45;917645,28;3957398,55
"241430 Timbaúba dos Batistas";175829,06;275240,04;185331,59;196727,70;833128,39
"241440 Touros";1972934,86;2034204,04;2032653,33;2341471,18;8381263,41
"241445 Triunfo Potiguar";161132,38;183443,83;191113,36;292331,89;828021,46
"241450 Umarizal";680051,08;646884,83;804173,82;714942,28;2846052,01
"241460 Upanema";898075,61;1121690,83;892857,19;1197010,44;4109634,07
"241470 Várzea";330832,20;395641,97;347813,77;429199,45;1503487,39
"241475 Venha-Ver";178643,16;273563,53;294922,64;246352,65;993481,98
"241480 Vera Cruz";920265,65;917296,74;1086676,08;1261395,38;4185633,85
"241490 Viçosa";115125,68;94377,77;146077,35;125575,43;481156,23
"241500 Vila Flor";266157,67;115346,74;187411,88;136923,14;705839,43
"250010 Água Branca";260440,46;497401,77;517536,64;353289,98;1628668,85
"250020 Aguiar";217562,56;217019,18;210385,90;141433,20;786400,84
"250030 Alagoa Grande";1095980,18;1216995,73;1293556,93;1366433,47;4972966,31
"250040 Alagoa Nova";943311,61;955090,27;1003202,04;1063182,47;3964786,39
"250050 Alagoinha";848393,16;674506,84;904855,28;525355,20;2953110,48
"250053 Alcantil";366204,59;366063,64;365209,54;311796,09;1409273,86
"250057 Algodão de Jandaíra";165465,78;104691,46;143990,31;133264,16;547411,71
"250060 Alhandra";1397688,50;1295216,15;1568989,41;1676989,50;5938883,56
"250073 Amparo";101854,45;80134,69;77818,73;83998,01;343805,88
"250077 Aparecida";164436,68;351367,94;303973,10;263362,69;1083140,41
"250080 Araçagi";774239,34;806542,99;1031411,46;824255,08;3436448,87
"250090 Arara";388938,74;465381,82;481153,45;521921,56;1857395,57
"250100 Araruna";679426,96;896374,11;622250,87;756857,02;2954908,96
"250110 Areia";1101492,71;1081726,77;1200979,64;877206,09;4261405,21
"250115 Areia de Baraúnas";81475,31;65507,32;62392,97;129184,98;338560,58
"250120 Areial";317490,82;302621,82;520906,48;410467,80;1551486,92
"250130 Aroeiras";1061571,07;1031599,28;1046749,70;947741,53;4087661,58
"250135 Assunção";172251,01;205729,39;178680,35;170736,24;727396,99
"250140 Baía da Traição";650635,40;715966,59;639869,16;580176,33;2586647,48
"250150 Bananeiras";845711,61;898165,80;1293437,03;920446,43;3957760,87
"250153 Baraúna";235901,48;189969,41;187123,29;184203,69;797197,87
"250160 Barra de Santa Rosa";594360,19;527553,12;743686,99;457196,87;2322797,17
"250157 Barra de Santana";348961,87;531899,83;410134,05;480642,72;1771638,47
"250170 Barra de São Miguel";268544,51;376695,07;536030,35;398495,95;1579765,88
"250180 Bayeux";6511319,61;7569492,58;7189261,35;6915785,72;28185859,26
"250190 Belém";719345,43;1147064,15;931970,70;1024358,16;3822738,44
"250200 Belém do Brejo do Cruz";302117,25;322904,36;277512,87;309641,34;1212175,82
"250205 Bernardino Batista";163869,90;159882,81;116419,81;145855,00;586027,52
"250210 Boa Ventura";263002,73;243184,37;332134,10;371459,04;1209780,24
"250215 Boa Vista";287202,58;390746,24;644254,23;322647,79;1644850,84
"250220 Bom Jesus";180283,89;186241,42;194116,50;167616,97;728258,78
"250230 Bom Sucesso";161893,25;276331,03;209276,86;152108,16;799609,30
"250240 Bonito de Santa Fé";496054,48;430559,07;434287,48;478817,04;1839718,07
"250250 Boqueirão";741007,86;1070889,86;1027197,72;990286,94;3829382,38
"250270 Borborema";294226,08;160373,92;256141,24;228775,44;939516,68
"250280 Brejo do Cruz";656495,11;579757,75;764751,35;615370,04;2616374,25
"250290 Brejo dos Santos";547343,91;404718,32;377600,64;536207,87;1865870,74
"250300 Caaporã";1218455,10;1242215,20;1139043,55;1877786,99;5477500,84
"250310 Cabaceiras";148232,64;199346,93;269409,47;207154,71;824143,75
"250320 Cabedelo";3851075,48;4209700,39;4406871,51;4223167,22;16690814,60
"250330 Cachoeira dos Índios";523563,92;497241,63;375408,71;488093,94;1884308,20
"250340 Cacimba de Areia";112600,65;124288,04;177452,67;97270,05;511611,41
"250350 Cacimba de Dentro";759471,25;537124,85;687338,17;736029,53;2719963,80
"250355 Cacimbas";303999,04;303510,33;375616,64;252935,30;1236061,31
"250360 Caiçara";323919,91;295530,10;428390,67;356224,23;1404064,91
"250370 Cajazeiras";2755659,26;3666371,03;3011834,24;4254827,35;13688691,88
"250375 Cajazeirinhas";133045,66;138561,10;217385,43;158706,63;647698,82
"250380 Caldas Brandão";314223,74;257969,89;582329,40;520875,12;1675398,15
"250390 Camalaú";315818,21;227682,44;411975,30;284778,02;1240253,97
"250400 Campina Grande";25032664,72;25420463,38;26293416,59;27480626,66;104227171,35
"250403 Capim";495570,24;410194,96;393975,69;284405,23;1584146,12
"250407 Caraúbas";299626,01;193530,37;181483,06;138198,54;812837,98
"250410 Carrapateira";70876,30;88477,70;46667,42;89935,31;295956,73
"250415 Casserengue";336762,83;340296,81;294247,42;252853,88;1224160,94
"250420 Catingueira";150757,09;319267,38;128669,72;140424,23;739118,42
"250430 Catolé do Rocha";1237032,83;1184071,78;1109403,33;1034310,38;4564818,32
"250435 Caturité";213216,82;250600,49;294884,00;196544,44;955245,75
"250440 Conceição";586643,37;610974,41;626050,56;712350,19;2536018,53
"250450 Condado";464065,02;382736,34;426733,60;377864,46;1651399,42
"250460 Conde";1686041,17;1599253,66;1926120,50;2256600,19;7468015,52
"250470 Congo";274736,17;236783,63;307927,99;276529,81;1095977,60
"250480 Coremas";665192,51;763631,60;540053,73;568683,62;2537561,46
"250485 Coxixola";44444,08;89204,58;99254,86;92817,99;325721,51
"250490 Cruz do Espírito Santo";1111071,80;1361468,32;1072476,68;1371373,50;4916390,30
"250500 Cubati";330132,49;379729,28;483440,31;318777,92;1512080,00
"250510 Cuité";1014642,63;1083046,46;1114917,95;802856,50;4015463,54
"250523 Cuité de Mamanguape";245235,36;377248,25;416336,96;434732,44;1473553,01
"250520 Cuitegi";336603,82;481986,34;504700,89;431793,38;1755084,43
"250527 Curral de Cima";281305,43;265966,44;329635,36;284532,06;1161439,29
"250530 Curral Velho";73734,25;100004,28;97453,33;69794,49;340986,35
"250535 Damião";175891,98;157089,64;202673,42;159366,87;695021,91
"250540 Desterro";367909,57;382671,78;443980,22;408776,13;1603337,70
"250560 Diamante";223743,68;205450,29;208362,86;360758,30;998315,13
"250570 Dona Inês";384680,96;443081,53;583959,01;455295,06;1867016,56
"250580 Duas Estradas";224102,14;222847,05;269201,99;114717,29;830868,47
"250590 Emas";72121,41;112501,27;136372,92;96607,91;417603,51
"250600 Esperança";1807658,45;1777743,28;2016887,17;1931226,67;7533515,57
"250610 Fagundes";587494,44;545466,24;726428,45;587565,95;2446955,08
"250620 Frei Martinho";154394,16;111161,62;107592,63;103778,37;476926,78
"250625 Gado Bravo";305003,25;374331,34;384963,78;378661,78;1442960,15
"250630 Guarabira";3056327,18;3119356,41;3323844,37;3576548,52;13076076,48
"250640 Gurinhém";812505,41;629268,10;814158,53;1090805,57;3346737,61
"250650 Gurjão";143644,89;121622,69;148278,02;137221,60;550767,20
"250660 Ibiara";371034,95;253348,28;207572,76;301126,26;1133082,25
"250260 Igaracy";342003,96;366164,99;247186,46;251514,08;1206869,49
"250670 Imaculada";273827,61;490957,08;378476,17;339162,90;1482423,76
"250680 Ingá";1478187,09;1738033,02;1041836,92;953565,12;5211622,15
"250690 Itabaiana";1450350,27;1359952,75;1589700,01;1935504,94;6335507,97
"250700 Itaporanga";1106917,30;983505,72;1248663,51;943084,24;4282170,77
"250710 Itapororoca";846198,30;944165,67;1247536,98;1271557,09;4309458,04
"250720 Itatuba";597381,57;566906,53;527039,07;491398,44;2182725,61
"250730 Jacaraú";743823,18;1093183,28;941438,34;927169,35;3705614,15
"250740 Jericó";323303,18;259665,99;359738,07;297430,77;1240138,01
"250750 João Pessoa";58512528,24;61285290,58;67747963,12;63231139,41;250776921,35
"251365 Joca Claudino";99146,20;111845,58;161125,85;67277,87;439395,50
"250760 Juarez Távora";455204,63;406159,89;367376,28;418543,72;1647284,52
"250770 Juazeirinho";814907,48;863609,51;1053820,18;1030099,44;3762436,61
"250780 Junco do Seridó";238353,47;266445,35;228089,43;273855,36;1006743,61
"250790 Juripiranga";606664,55;549242,20;459459,52;702067,58;2317433,85
"250800 Juru";311624,48;509684,09;451401,23;333961,86;1606671,66
"250810 Lagoa";145770,20;178430,23;220765,58;116106,22;661072,23
"250820 Lagoa de Dentro";518034,82;377741,21;563147,29;343178,32;1802101,64
"250830 Lagoa Seca";1561686,52;1285821,55;1624186,47;1507158,74;5978853,28
"250840 Lastro";122693,47;91214,17;137851,86;175881,64;527641,14
"250850 Livramento";362970,74;342661,39;451032,89;274390,81;1431055,83
"250855 Logradouro";148622,29;95614,60;194696,41;158868,89;597802,19
"250860 Lucena";722573,16;918720,27;771972,66;962876,36;3376142,45
"250870 Mãe d'Água";86917,45;106119,53;176751,91;143595,31;513384,20
"250880 Malta";255881,98;170699,65;236506,50;333000,79;996088,92
"250890 Mamanguape";1995790,36;2912779,52;3128833,25;3128437,88;11165841,01
"250900 Manaíra";412332,50;267331,09;316688,71;286259,19;1282611,49
"250905 Marcação";313613,74;446826,23;451626,81;483663,44;1695730,22
"250910 Mari";1266933,04;1223172,30;1635549,37;1347709,35;5473364,06
"250915 Marizópolis";187806,90;153783,11;213089,83;424553,21;979233,05
"250920 Massaranduba";649743,79;755344,44;893731,93;600895,00;2899715,16
"250930 Mataraca";429177,19;469270,85;499248,98;629868,07;2027565,09
"250933 Matinhas";206680,18;270815,81;198093,99;212621,34;888211,32
"250937 Mato Grosso";141695,88;69308,83;83251,09;77153,16;371408,96
"250939 Maturéia";228188,63;183231,33;344428,51;347943,48;1103791,95
"250940 Mogeiro";647836,32;683800,50;755610,82;685369,76;2772617,40
"250950 Montadas";339688,11;288614,15;238307,62;330210,20;1196820,08
"250960 Monte Horebe";199302,70;244275,20;247785,05;206589,23;897952,18
"250970 Monteiro";1266620,18;1357364,63;1534478,13;1396883,34;5555346,28
"250980 Mulungu";359805,97;467421,54;688250,94;441141,32;1956619,77
"250990 Natuba";238894,90;242048,82;223532,69;224152,93;928629,34
"251000 Nazarezinho";168428,62;188955,78;230530,22;214888,40;802803,02
"251010 Nova Floresta";515082,03;515016,57;793636,91;412451,77;2236187,28
"251020 Nova Olinda";316691,89;238335,03;414364,36;340795,59;1310186,87
"251030 Nova Palmeira";186938,39;172394,61;213842,38;185334,97;758510,35
"251040 Olho d'Água";353474,58;419745,67;327226,86;278399,93;1378847,04
"251050 Olivedos";203627,69;214225,16;191203,63;148133,06;757189,54
"251060 Ouro Velho";119165,12;122662,88;107737,76;83585,63;433151,39
"251065 Parari";59058,98;77252,01;72593,35;74006,90;282911,24
"251070 Passagem";74078,98;92616,90;90053,79;167478,25;424227,92
"251080 Patos";3923376,61;3695659,63;4428483,94;4684505,28;16732025,46
"251090 Paulista";761690,72;606986,63;701842,88;678046,76;2748566,99
"251100 Pedra Branca";172740,05;159191,38;213752,80;167115,75;712799,98
"251110 Pedra Lavrada";373569,98;323072,04;313453,95;215955,21;1226051,18
"251120 Pedras de Fogo";1527443,47;1512209,85;1705053,19;1770944,29;6515650,80
"251272 Pedro Régis";271036,56;348938,51;345738,80;322881,00;1288594,87
"251130 Piancó";950665,40;835348,80;668582,99;778122,21;3232719,40
"251140 Picuí";928411,92;745706,71;660928,90;656134,83;2991182,36
"251150 Pilar";671461,43;547464,10;874047,95;780177,86;2873151,34
"251160 Pilões";368876,98;322808,68;451252,09;236767,91;1379705,66
"251170 Pilõezinhos";258686,07;377786,14;358182,64;483739,37;1478394,22
"251180 Pirpirituba";369942,42;505429,31;473514,71;436144,78;1785031,22
"251190 Pitimbu";764114,11;903829,81;1179619,22;769072,67;3616635,81
"251200 Pocinhos";899458,54;956990,35;1003279,17;913189,01;3772917,07
"251203 Poço Dantas";131359,00;145189,77;273714,86;148065,08;698328,71
"251207 Poço de José de Moura";393844,94;308525,02;173462,90;238632,16;1114465,02
"251210 Pombal";1593812,01;1535350,88;1657438,64;1572817,99;6359419,52
"251220 Prata";160643,97;203634,47;109580,57;131428,40;605287,41
"251230 Princesa Isabel";690122,33;655999,34;808095,49;541811,19;2696028,35
